fips,population,area,density
17189,14337,562.57,26.2
17191,16543,713.81,23.5
17193,14374,494.77,29.6
17195,56876,684.25,85.5
17197,685419,836.91,809.6
17199,67008,420.15,157.9
17201,288542,513.36,575.2
17203,39187,527.8,73.3
18000,6596855,35826.11,181
18001,34791,339.03,101.4
18003,365918,657.31,540.6
18005,80217,406.91,188.7
18007,8700,406.42,21.8
18009,12401,165.08,77.3
18011,61915,422.91,133.9
18013,14962,311.98,48.9
18015,19923,372.22,54.1
18017,38438,412.16,94.5
18019,114262,372.86,295.6
18021,26562,357.54,75.2
18023,32776,405.07,82
18025,10655,305.64,35.1
18027,32729,429.49,73.7
18029,49506,305.03,164.1
18031,26524,372.57,69.1
18033,42383,362.82,116.4
18035,117074,392.12,300.1
18037,42345,427.27,98
18039,201971,463.17,426.5
18041,23468,215.01,112.9
18043,76179,147.94,504.1
18045,16658,395.66,43.6
18047,22934,384.43,60.1
18049,20500,368.39,56.6
18051,33759,487.49,68.7
18053,68569,414.07,169.2
18055,32726,542.5,61.1
18057,302623,394.27,696.4
18059,71978,306.02,228.8
18061,39299,484.52,81.2
18063,156056,406.91,357.4
18065,48995,391.88,126.2
18067,82982,293.06,282.4
18069,36706,382.65,97
18071,43705,509.31,83.2
18073,33475,559.63,59.8
18075,21179,383.91,55.4
18077,32494,360.63,89.9
18079,28000,376.58,75.7
18081,147538,320.43,435.8
18083,37938,516.03,74.5
18085,78564,531.38,145.6
18087,38436,379.62,97.8
18089,490228,498.96,994.1
18091,111444,598.3,186.3
18093,45704,449.17,102.7
18095,130069,451.92,291.3
18097,934243,396.3,2279.6
18099,47107,443.63,106.1
18101,10203,335.74,30.8
18103,35954,373.84,98.7
18105,143339,394.51,349.7
18107,38146,504.61,75.6
18109,69693,403.97,170.5
18111,14156,401.76,35.5
18113,47618,410.84,115.7
18115,6035,86.14,71.1
18117,19626,398.39,49.8
18119,20969,385.29,56
18121,17233,444.66,39
18123,19454,381.73,50.7
18125,12624,334.24,38.4
18127,167076,418.15,393
18129,25540,409.57,63.3
18131,12967,433.65,30.9
18133,37618,480.53,79
18135,25384,452.38,57.9
18137,28497,446.43,64.6
18139,16892,408.12,42.6
18141,267618,457.85,583
18143,23712,190.4,127
18145,44579,411.15,108.1
18147,20801,396.74,52.8
18149,23074,309.13,75.6
18151,34308,308.94,110.7
18153,21050,447.14,48
18155,10452,220.63,48.1
18157,183074,499.81,345.7
18159,15415,260.54,61.2
18161,7246,161.22,46.6
18163,182006,233.48,769.7
18165,15693,256.88,63.1
18167,108175,403.31,267.4
